,boxes
0,"[[(array([[291.00712547, 215.31752959]]), array([[300.69092648, 240.52118008]]), array([[339.31105635, 225.68247041]]), array([[329.62725534, 200.47881992]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[264.02616664, 287.67666356]]), array([[296.01604115, 286.87172354]]), array([[294.74980739, 236.54914289]]), array([[262.75993287, 237.35408292]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[289.28627142, 421.85370353]]), array([[299.87931299, 452.04952228]]), array([[338.49944286, 438.50113518]]), array([[327.90640129, 408.30531643]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[189.01353058, 492.42922457]]), array([[164.63257332, 480.82883995]]), array([[154.50270319, 502.11916253]]), array([[178.88366045, 513.71954715]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[134.82624085, 532.63210095]]), array([[165.63804486, 541.27112485]]), array([[173.23544746, 514.17435066]]), array([[142.42364345, 505.53532676]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[157.35160521,  92.38651466]]), array([[135.51527791,  95.06509824]]), array([[139.31397921, 126.03284017]]), array([[161.15030651, 123.3542566 ]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[159.5862726 , 151.85329364]]), array([[180.13125987, 143.98541603]]), array([[170.00138974, 117.53380313]]), array([[149.45640247, 125.40168074]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[167.96356494, 195.278859  ]]), array([[148.96175973, 206.36630229]]), array([[162.89033116, 230.23727003]]), array([[181.89213637, 219.14982674]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[143.68594102, 690.54987569]]), array([[165.64198106, 689.15980173]]), array([[163.10951353, 649.15980173]]), array([[141.15347348, 650.54987569]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[193.99791252, 675.04794298]]), array([[196.36897059, 696.91979895]]), array([[226.1254641, 693.6939925]]), array([[223.75440603, 671.82213653]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
10,"[[(array([[188.7574717 , 503.31049108]]), array([[205.40811271, 517.68950892]]), array([[219.33668414, 501.56047666]]), array([[202.68604313, 487.18145882]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
